id,name,fake,nivel,path
P8355,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP57,010511:Gallos y gallinas,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010511:Gallos y gallinas"
F54,01051101 : Cuando no necesiten alimento durante su transporte.,01051101,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010511:Gallos y gallinas > 01051101 : Cuando no necesiten alimento durante su transporte."
F55,01051102 : Aves progenitoras recién nacidas  con certificado de alto registro  cuando se importe un máximo de 18 000 cabezas por cada operación.,01051102,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010511:Gallos y gallinas > 01051102 : Aves progenitoras recién nacidas  con certificado de alto registro  cuando se importe un máximo de 18 000 cabezas por cada operación."
F56,01051199 : Los demás.,01051199,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010511:Gallos y gallinas > 01051199 : Los demás."
P8356,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP59,010512:Pavos (gallipavos),0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010512:Pavos (gallipavos)"
F58,01051201 : Pavos (gallipavos).,01051201,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010512:Pavos (gallipavos) > 01051201 : Pavos (gallipavos)."
P8357,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP61,010513:Patos,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010513:Patos"
F60,01051301 : Patos.,01051301,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010513:Patos > 01051301 : Patos."
P8358,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP63,010514:Gansos,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010514:Gansos"
F62,01051401 : Gansos.,01051401,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010514:Gansos > 01051401 : Gansos."
P8359,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP65,010515:Pintadas,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010515:Pintadas"
F64,01051501 : Pintadas.,01051501,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010515:Pintadas > 01051501 : Pintadas."
P8360,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP67,010519:Los demas,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010519:Los demas"
F66,01051999 : SUPRIMIDA,01051999,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010519:Los demas > 01051999 : SUPRIMIDA"
P8361,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP70,010594:Gallos y gallinas,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010594:Gallos y gallinas"
F68,01059401 : Gallos de pelea.,01059401,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010594:Gallos y gallinas > 01059401 : Gallos de pelea."
F69,01059499 : Los demás.,01059499,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010594:Gallos y gallinas > 01059499 : Los demás."
P8362,"0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos",01,3,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos"
SP72,010599:Los demas,0105,4,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010599:Los demas"
F71,01059999 : Los demás.,01059999,5,"01:Animales vivos > 0105:Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domesticas, vivos > 010599:Los demas > 01059999 : Los demás."
P11318,01:Animales vivos,01,2,01:Animales vivos
P8363,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP75,010611:Primates,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010611:Primates
F73,01061101 : Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.,01061101,5,01:Animales vivos > 0106:Los demas animales vivos > 010611:Primates > 01061101 : Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.
F74,01061199 : Los demás.,01061199,5,01:Animales vivos > 0106:Los demas animales vivos > 010611:Primates > 01061199 : Los demás.
P8364,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP77,"010612:Ballenas, delfines y marsopas (mamiferos del orden Cetaceos), manaties y dugones o dugongos (mamiferos del orden Sirenios), otarios y focas, leones marinos y morsas (mamiferos del suborden Pinnipedia)",0106,4,"01:Animales vivos > 0106:Los demas animales vivos > 010612:Ballenas, delfines y marsopas (mamiferos del orden Cetaceos), manaties y dugones o dugongos (mamiferos del orden Sirenios), otarios y focas, leones marinos y morsas (mamiferos del suborden Pinnipedia)"
F76,01061201 : Ballenas  delfines y marsopas (mamíferos del orden Cetáceos)  manatíes y dugones o dugongos (mamíferos del orden Sirenios)  otarios y focas  leones marinos y morsas (mamíferos del suborden Pinnipedia).,01061201,5,"01:Animales vivos > 0106:Los demas animales vivos > 010612:Ballenas, delfines y marsopas (mamiferos del orden Cetaceos), manaties y dugones o dugongos (mamiferos del orden Sirenios), otarios y focas, leones marinos y morsas (mamiferos del suborden Pinnipedia) > 01061201 : Ballenas  delfines y marsopas (mamíferos del orden Cetáceos)  manatíes y dugones o dugongos (mamíferos del orden Sirenios)  otarios y focas  leones marinos y morsas (mamíferos del suborden Pinnipedia)."
P8365,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP79,010613:Camellos y los demas camelidos (Camelidae),0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010613:Camellos y los demas camelidos (Camelidae)
F78,01061301 : Camellos y los demás camélidos (Camelidae).,01061301,5,01:Animales vivos > 0106:Los demas animales vivos > 010613:Camellos y los demas camelidos (Camelidae) > 01061301 : Camellos y los demás camélidos (Camelidae).
P8366,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP81,010614:Conejos y liebres,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010614:Conejos y liebres
F80,01061401 : Conejos y liebres.,01061401,5,01:Animales vivos > 0106:Los demas animales vivos > 010614:Conejos y liebres > 01061401 : Conejos y liebres.
P8367,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP88,010619:Los demas,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas
F82,01061901 : Berrendo  oso  lobo  castor  puma  jaguar  ocelote  margay  gato de monte o tapir.,01061901,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061901 : Berrendo  oso  lobo  castor  puma  jaguar  ocelote  margay  gato de monte o tapir.
F83,01061902 : Venado rojo (Cervus elaphus)  gamo (Dama dama).,01061902,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061902 : Venado rojo (Cervus elaphus)  gamo (Dama dama).
F84,01061903 : Perros.,01061903,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061903 : Perros.
F85,01061904 : SUPRIMIDA,01061904,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061904 : SUPRIMIDA
F86,01061905 : SUPRIMIDA,01061905,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061905 : SUPRIMIDA
F87,01061999 : Los demás.,01061999,5,01:Animales vivos > 0106:Los demas animales vivos > 010619:Los demas > 01061999 : Los demás.
P8368,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP93,010620:Reptiles (incluidas las serpientes y tortugas de mar),0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010620:Reptiles (incluidas las serpientes y tortugas de mar)
F89,01062001 : Víbora de cascabel.,01062001,5,01:Animales vivos > 0106:Los demas animales vivos > 010620:Reptiles (incluidas las serpientes y tortugas de mar) > 01062001 : Víbora de cascabel.
F90,01062002 : Tortugas terrestres.,01062002,5,01:Animales vivos > 0106:Los demas animales vivos > 010620:Reptiles (incluidas las serpientes y tortugas de mar) > 01062002 : Tortugas terrestres.
F91,01062003 : Tortugas de agua dulce o de mar.,01062003,5,01:Animales vivos > 0106:Los demas animales vivos > 010620:Reptiles (incluidas las serpientes y tortugas de mar) > 01062003 : Tortugas de agua dulce o de mar.
F92,01062099 : Los demás.,01062099,5,01:Animales vivos > 0106:Los demas animales vivos > 010620:Reptiles (incluidas las serpientes y tortugas de mar) > 01062099 : Los demás.
P8369,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP95,010631:aves de rapina,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010631:aves de rapina
F94,01063101 : Aves de rapiña.,01063101,5,01:Animales vivos > 0106:Los demas animales vivos > 010631:aves de rapina > 01063101 : Aves de rapiña.
P8370,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP97,"010632:Psitaciformes (incluidos los loros, guacamayos, cacatuas y demas papagayos)",0106,4,"01:Animales vivos > 0106:Los demas animales vivos > 010632:Psitaciformes (incluidos los loros, guacamayos, cacatuas y demas papagayos)"
F96,01063201 : Psitaciformes (incluidos los loros  guacamayos  cacatúas y demás papagayos).,01063201,5,"01:Animales vivos > 0106:Los demas animales vivos > 010632:Psitaciformes (incluidos los loros, guacamayos, cacatuas y demas papagayos) > 01063201 : Psitaciformes (incluidos los loros  guacamayos  cacatúas y demás papagayos)."
P8371,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP99,"010633:avestruces, emus (Dromaius novaehollandiae)",0106,4,"01:Animales vivos > 0106:Los demas animales vivos > 010633:avestruces, emus (Dromaius novaehollandiae)"
F98,01063301 : Avestruces  emús (Dromaius novaehollandiae).,01063301,5,"01:Animales vivos > 0106:Los demas animales vivos > 010633:avestruces, emus (Dromaius novaehollandiae) > 01063301 : Avestruces  emús (Dromaius novaehollandiae)."
P8372,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP103,010639:Las demas,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010639:Las demas
F100,01063901 : Flamencos  quetzales  guan cornudo  pato real.,01063901,5,01:Animales vivos > 0106:Los demas animales vivos > 010639:Las demas > 01063901 : Flamencos  quetzales  guan cornudo  pato real.
F101,01063902 : Aves canoras.,01063902,5,01:Animales vivos > 0106:Los demas animales vivos > 010639:Las demas > 01063902 : Aves canoras.
F102,01063999 : Las demás.,01063999,5,01:Animales vivos > 0106:Los demas animales vivos > 010639:Las demas > 01063999 : Las demás.
P8373,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP105,010641:abejas,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010641:abejas
F104,01064101 : Abejas,01064101,5,01:Animales vivos > 0106:Los demas animales vivos > 010641:abejas > 01064101 : Abejas
P8374,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP107,010649:Los demas,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010649:Los demas
F106,01064999 : Los demás,01064999,5,01:Animales vivos > 0106:Los demas animales vivos > 010649:Los demas > 01064999 : Los demás
P8375,0106:Los demas animales vivos,01,3,01:Animales vivos > 0106:Los demas animales vivos
SP113,010690:Los demas,0106,4,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas
F108,01069001 : SUPRIMIDA,01069001,5,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas > 01069001 : SUPRIMIDA
F109,01069002 : Lombriz Rebellus.,01069002,5,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas > 01069002 : Lombriz Rebellus.
F110,01069003 : Lombriz acuática.,01069003,5,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas > 01069003 : Lombriz acuática.
F111,01069004 : Ácaros Phytoseiulus persimilis.,01069004,5,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas > 01069004 : Ácaros Phytoseiulus persimilis.
F112,01069099 : Los demás.,01069099,5,01:Animales vivos > 0106:Los demas animales vivos > 010690:Los demas > 01069099 : Los demás.
P11319,02:Carne y despojos comestible,02,2,02:Carne y despojos comestible
P8376,"0201:Carne de animales de la especie bovina, fresca o refrigerada",02,3,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada"
SP115,020110:En canales o medias canales,0201,4,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020110:En canales o medias canales"
F114,02011001 : En canales o medias canales.,02011001,5,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020110:En canales o medias canales > 02011001 : En canales o medias canales."
P8377,"0201:Carne de animales de la especie bovina, fresca o refrigerada",02,3,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada"
SP117,020120:Los demas cortes (trozos) sin deshuesar,0201,4,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020120:Los demas cortes (trozos) sin deshuesar"
F116,02012099 : Los demás cortes (trozos) sin deshuesar.,02012099,5,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020120:Los demas cortes (trozos) sin deshuesar > 02012099 : Los demás cortes (trozos) sin deshuesar."
P8378,"0201:Carne de animales de la especie bovina, fresca o refrigerada",02,3,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada"
SP119,020130:Deshuesada,0201,4,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020130:Deshuesada"
F118,02013001 : Deshuesada.,02013001,5,"02:Carne y despojos comestible > 0201:Carne de animales de la especie bovina, fresca o refrigerada > 020130:Deshuesada > 02013001 : Deshuesada."
P11320,02:Carne y despojos comestible,02,2,02:Carne y despojos comestible
P8379,"0202:Carne de animales de la especie bovina, congelada",02,3,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada"
SP121,020210:En canales o medias canales,0202,4,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada > 020210:En canales o medias canales"
F120,02021001 : En canales o medias canales.,02021001,5,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada > 020210:En canales o medias canales > 02021001 : En canales o medias canales."
P8380,"0202:Carne de animales de la especie bovina, congelada",02,3,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada"
SP123,020220:Los demas cortes (trozos) sin deshuesar,0202,4,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada > 020220:Los demas cortes (trozos) sin deshuesar"
F122,02022099 : Los demás cortes (trozos) sin deshuesar.,02022099,5,"02:Carne y despojos comestible > 0202:Carne de animales de la especie bovina, congelada > 020220:Los demas cortes (trozos) sin deshuesar > 02022099 : Los demás cortes (trozos) sin deshuesar."
